MulLoop_Mutant5,=0/1
SubLoop_Mutant1,=1/1
AddLoopFor_Original,=1/1
SubLoop_Original,=1/1
SubLoop_Mutant2,=1/1
AddLoop_Mutant4,=1/1
Return100Nested_Mutant1,=1/1
AddLoop_Original,=1/1
Return100Nested_Mutant5,=1/1
AddLoop_Mutant3,=1/1
DigitRoot_Original,=0/1
AddLoopFor_Mutant3,=1/1
AddLoopFor_Mutant2,=1/1
AddLoopFor_Mutant4,=1/1
MulLoop_Mutant4,=1/1
MulLoop_Original,=1/1
Return100Nested_Mutant2,=1/1
SubLoop_Mutant5,=1/1
MulLoop_Mutant2,=1/1
MulLoop_Mutant3,=1/1
AddLoop_Mutant5,=1/1
Return100Nested_Mutant3,=1/1
AddLoop_Mutant1,=1/1
Return100Nested_Mutant4,=1/1
MulLoop_Mutant1,=1/1
Return100Nested_Original,=1/1
AddLoop_Mutant2,=1/1
